iter	Logloss
234	0.1698940735
235	0.1697765961
236	0.1696874084
237	0.1696508179
238	0.1695575256
239	0.1693794861
240	0.1692254333
241	0.1691378326
242	0.1690794525
243	0.168786438
244	0.1686902161
245	0.1685552979
246	0.1684015503
247	0.1683085938
248	0.1681809692
249	0.1681329346
250	0.1680185852
251	0.1678769684
252	0.1677664795
253	0.1676336212
254	0.1675788574
255	0.167547287
256	0.1675141907
257	0.1673167725
258	0.1671179199
259	0.1667179871
260	0.1666580963
261	0.1665259705
262	0.1664056396
263	0.166349762
264	0.1661755371
265	0.1659644623
266	0.1658710938
267	0.165763092
268	0.165712204
269	0.1653427887
270	0.1652677612
271	0.1650933533
272	0.1650529022
273	0.164937973
274	0.1647756042
275	0.1646590576
276	0.1644338226
277	0.1642790833
278	0.1641889038
279	0.1641194763
280	0.1640536804
281	0.1639297943
282	0.1636367187
283	0.1635274353
284	0.163431015
285	0.1633456726
286	0.1630829163
287	0.1630243988
288	0.162891861
289	0.1627835083
290	0.1626977844
291	0.1624957886
292	0.1623062134
293	0.1621841583
294	0.1621087646
295	0.1620322113
296	0.1619125671
297	0.161781311
298	0.1616803284
299	0.1615605469
300	0.1614183044
301	0.1612085571
302	0.1610284729
303	0.1609141083
304	0.1607556458
305	0.1606203156
306	0.1603971252
307	0.1602341614
308	0.1600842438
309	0.1599716339
310	0.1598641052
311	0.159744339
312	0.1595321655
313	0.1594285889
314	0.1593218689
315	0.1592086487
316	0.1590987549
317	0.1589969177
318	0.1587936554
319	0.1587639618
320	0.1586523895
321	0.1585376587
322	0.1584220886
323	0.1582964172
324	0.158220871
325	0.1581599274
326	0.1580486603
327	0.1577997589
328	0.1576910706
329	0.1575596924
330	0.1573683319
331	0.1573355408
332	0.1572067413
333	0.1571505737
334	0.1570938568
335	0.1570126953
336	0.1569599457
337	0.1569128571
338	0.156700531
339	0.1566250458
340	0.1565787811
341	0.1564809418
342	0.15640448
343	0.1563626099
344	0.156325058
345	0.1561894531
346	0.1560872803
347	0.1559743347
348	0.1558930359
349	0.1558154602
350	0.1556484985
351	0.1554312134
352	0.1552955933
353	0.1551885529
354	0.1550736237
355	0.1549965515
356	0.1548078003
357	0.1546998291
358	0.154592804
359	0.1545697479
360	0.1545131531
361	0.1544139099
362	0.1542947388
363	0.15420047
364	0.1540841064
365	0.154015152
366	0.1539293518
367	0.1538630219
368	0.1537419739
369	0.1535096436
370	0.1534380035
371	0.1532547302
372	0.1532180939
373	0.1531308899
374	0.1530338135
375	0.1530097046
376	0.1528869324
377	0.1527845459
378	0.1525769196
379	0.1524725342
380	0.1523912048
381	0.152240509
382	0.1521531677
383	0.1520620422
384	0.1519568329
385	0.1518438721
386	0.1516937103
387	0.1515984039
388	0.1515788269
389	0.1515353699
390	0.1514526062
391	0.1512837219
392	0.1510009766
393	0.1509842224
394	0.1509140625
395	0.150817688
396	0.1506965637
397	0.1506087952
398	0.1505681305
399	0.1505002289
400	0.1503984833
401	0.1502269287
402	0.1499000702
403	0.1497258911
404	0.1496482544
405	0.1495778351
406	0.1494962158
407	0.1494509277
408	0.1493386383
409	0.1492994843
410	0.1491974335
411	0.1491145325
412	0.1490047455
413	0.1489158325
414	0.1488278046
415	0.1487431641
416	0.1486921234
417	0.1485750122
418	0.1484727478
419	0.1484367523
420	0.1482775116
421	0.1481889191
422	0.1481356201
423	0.1479653168
424	0.1479422913
425	0.1479080963
426	0.1477474823
427	0.1476337433
428	0.1475190125
429	0.1473928833
430	0.1473454742
431	0.1472129822
432	0.147030304
433	0.147000824
434	0.1468771515
435	0.1468196716
436	0.1466349945
437	0.1464930115
438	0.1464734192
439	0.1464217224
440	0.146388855
441	0.1462953796
442	0.1462810669
443	0.1460942841
444	0.146032135
445	0.1458762817
446	0.145792923
447	0.1457608643
448	0.145678833
449	0.1455373077
450	0.1453710022
451	0.1452034302
452	0.1451144714
453	0.1450295105
454	0.1449825134
455	0.1448482666
456	0.1447179413
457	0.1446897736
458	0.1445756378
459	0.1445079346
460	0.1443755035
461	0.1442382507
462	0.1441556091
463	0.144134613
464	0.1439862366
465	0.1439515381
466	0.1438186951
467	0.1436678162
468	0.1436251068
469	0.1435502014
470	0.1435219727
471	0.1434913025
472	0.1433494415
473	0.1432240601
474	0.143072937
475	0.1430438995
476	0.1429262085
477	0.1428760071
478	0.142788681
479	0.1427120972
480	0.1425253601
481	0.1422617645
482	0.1421308441
483	0.1420513916
484	0.1419380493
485	0.1417722473
486	0.1417439575
487	0.1416842651
488	0.1415272217
489	0.1414181366
490	0.1413893738
491	0.1412662354
492	0.1411576538
493	0.1410466766
494	0.1409923401
495	0.1408822174
496	0.1407662048
497	0.1407250671
498	0.1406271362
499	0.1404822693
